bear ID,sample ID,species,date of birth,date of sampling,environment,sex,age,SLC12A5_1_methylation_rate_ave,SLC12A5_2_methylation_rate_ave,SLC12A5_3_methylation_rate_ave,SLC12A5_4_methylation_rate_ave
NG18B58,BL-200805,ABB,2016/2/1,2020/8/5,Wild,M,-0.879525434,-1.316881761,-0.988673886,-0.801830275,-0.917101237
NG18B38,BL-1-200816,ABB,2017/2/1,2020/8/16,Wild,F,-0.987182494,-1.108568272,-1.091077486,-1.252345173,-1.037145702
NG_223,BL-200820,ABB,2019/2/1,2020/8/20,Wild,F,-1.207886503,-1.601201522,-1.566243231,-1.617749174,-1.297242043
NG17B01,190511 #3,ABB,2014/2/1,2019/5/11,Wild,M,-0.79471957,-0.746834714,-1.034331542,-0.739224662,-0.747371701
NG_54,NG18B18,ABB,2004/2/1,2018/5/25,Wild,F,0.208347534,0.473136342,0.345834164,0.02963773,0.032250407
NG_33,NG17B24,ABB,2004/2/1,2017/7/14,Wild,M,0.112565114,-0.13033939,0.115263003,0.262465139,0.316689098
NG_64,NG17B25,ABB,2005/2/1,2017/7/14,Wild,F,0.001579056,-0.191566665,-0.211841488,-0.02642089,0.037919174
NG_171,NG17B37,ABB,2011/2/1,2017/8/19,Wild,M,-0.65333557,-0.732759478,-0.962909924,-0.885304425,-1.016804834
NG_76,NG17B43,ABB,2008/2/1,2017/8/29,Wild,F,-0.317365156,-0.267572938,-0.483178413,-0.08534382,-0.166489874
NG_354,NG17B44,ABB,2012/2/1,2017/8/30,Wild,F,-0.760964367,-0.826359796,-0.800825246,-0.88735036,-0.691684408
NG17B46,NG17B46,ABB,2017/2/1,2017/8/31,Wild,M,-1.315587451,-1.822886485,-1.631142327,-1.314541599,-1.594018637
NG_158,NG17B47,ABB,2016/2/1,2017/9/3,Wild,M,-1.203635681,-1.607535378,-1.436445038,-1.308403794,-1.47197343
NG_49,BL-1-200604-P,ABB,2004/2/1,2020/6/4,Wild,F,0.433344953,0.070936481,0.060473816,0.102063831,0.119949558
NG_107,BL-3-200703-P,ABB,2013/2/1,2020/7/3,Wild,F,-0.556644061,-0.676810416,-0.383709949,-0.750681899,-0.57830908
NG_189,BL-2-200908-AP,ABB,2016/2/1,2020/9/8,Wild,F,-0.869199183,-1.252487557,-0.936167582,-0.966323453,-1.158523994
Hokuto,221107 Hokuto,PB,2000/12/8,2022/11/7,Captive,M,1.05210573,0.770827577,1.158540435,1.032964279,1.151665043
Rara,221227 Rara,PB,1994/11/20,2022/12/27,Captive,F,1.738925566,1.263460828,1.158866561,1.162676561,1.234695798
Denali,221227 Denali,PB,1993/11/9,2022/12/27,Captive,M,1.853242567,1.547076827,1.480753034,1.434785923,1.554147458
Light,230308 Light-1,PB,2013/11/21,2023/3/8,Captive,M,-0.348322501,-0.302057265,-0.401973011,-0.377912532,-0.471269432
Peace,230409 Peace,PB,1999/12/2,2023/4/9,Captive,F,1.211763997,1.155785274,0.803389099,0.659376539,1.017281934
Candy,230420 Candy,PB,1992/11/2,2023/4/20,Captive,F,2.000760307,1.763483577,1.685886358,1.698711545,1.490123743
Cookie,230420 Cookie,PB,1993/1/21,2023/4/20,Captive,F,1.976675591,1.54039109,1.180390884,1.400823401,1.932620979
Ikoro,230522 Ikoro,PB,2008/12/9,2023/5/22,Captive,M,0.223611899,0.586441989,0.46356569,0.221137251,0.177304136
Kai,230621 Kai,PB,2004/12/2,2023/6/21,Captive,M,0.678761209,0.570607349,0.258432366,0.50593141,0.509427156
Pola,230621 Pola,PB,2004/12/5,2023/6/21,Captive,F,0.677849695,0.643094813,0.788713424,0.855377117,0.892569073
Maruru,230721 Maruru3,PB,2012/12/8,2023/7/21,Captive,F,-0.201761288,0.107180213,-0.068672125,0.147892776,-0.126475052
Yume,231201 Yume,PB,2021/12/10,2023/12/1,Captive,F,-1.16052394,-1.011449146,-1.175218023,-1.134908501,-0.873751847
Ruru,220612 Ruru,PB,1994/11/20,2022/6/12,Captive,F,1.678764224,1.266627756,1.334974661,1.47079438,1.266707656
Iwan,190928 Iwan,PB,2000/11/20,2019/9/28,Captive,M,0.712487226,0.873224917,1.025807107,0.828779961,1.067300461
Deah,240205 Deah,PB,2008/12/2,2024/1/16,Captive,F,0.298153376,0.770475697,0.626628746,0.840646384,0.76919004
Momo,160613 Momo,PB,2014/11/25,2016/6/13,Captive,F,-1.207808102,-1.046637235,-0.981825238,-1.074348824,-0.694018606
Bufin,160613 Bufin,PB,1991/12/9,2016/6/13,Captive,F,1.340377136,1.453828391,1.125927824,1.386501856,1.549145605
Icchan,170707 Icchan,PB,2013/12/11,2017/7/7,Captive,F,-0.983482193,-0.967112153,-0.740818041,-0.771550436,-0.81939838
Houchan,231021 Houchan,PB,2020/11/25,2023/10/21,Captive,F,-1.057672908,-0.948462466,-0.800172994,-0.800193527,-0.594981922
Kiroru,240319 Kiroru,PB,2008/12/9,2024/3/19,Captive,M,0.315166249,0.090641811,0.330506237,-0.219147972,0.349367869
Lila,240319 Lila,PB,2014/12/21,2024/3/19,Captive,F,-0.354047944,-0.29607529,-0.255868513,-0.45893156,-0.100131961
Umekichi,230301 Umekichi,SB,2009/10/11,2023/3/1,Captive,M,0.105926136,0.162073633,0.823608918,-0.165953661,0.820542394
Masa,230130 Masa,SB,2008/6/26,2023/1/30,Captive,F,0.240019151,0.553365186,0.654675592,0.356987338,0.36403997
Mars,230322 Mars-1,SB,2003/4/29,2023/3/22,Captive,M,0.828321469,1.081186525,1.069508006,0.728938331,0.916577966
Taochii,191202 Taochii,SB,1994/7/2,2019/12/2,Captive,F,1.441239255,1.443623845,1.410962046,1.221599491,1.499793992
Wanpii,230414 Wanpii,SB,1994/7/2,2023/4/14,Captive,M,1.814653382,1.57980175,1.687190862,1.478568933,1.958630613
Ma-ne,231118 Ma-ne2,SB,2015/8/27,2023/11/18,Captive,F,-0.466638573,0.268341662,0.019708052,0.181855298,-0.007430958
Happy,231208 Happy,SB,2006/10/3,2023/12/8,Captive,F,0.526987223,1.027700629,1.003630532,1.1929564,0.803869552
Shine,240219 Shine,SB,2009/9/25,2024/2/19,Captive,M,0.218446653,0.82290595,0.148527866,0.266966196,0.450405294
